public_gene_name,p-value
Y39B6A.43,0.588022802
math-38,0.589427989
vglu-3,0.590012434
drh-3,0.591380157
Y59A8B.6,0.59153352
K04C2.2,0.594006289
Y39G10AR.11,0.59407012
Y46G5A.4,0.595028429
C25F9.2,0.595210821
C44H9.4,0.595768476
pgp-1,0.595863745
fer-1,0.596538695
ptr-23,0.597646086
gcy-14,0.597820058
eat-20,0.598028552
T24H7.2,0.598028552
fshr-1,0.598028552
gcy-13,0.599105605
col-98,0.599105605
T05C1.4,0.599485466
K10E9.1,0.600741167
ZC123.1,0.600833754
mua-3,0.601702191
Y39G10AR.18,0.602114151
vab-8,0.602382559
pqn-20,0.60328845
T24D1.2,0.60553348
npp-9,0.605711728
M70.3,0.605711728
Y39A3CR.3,0.605711728
col-106,0.605711728
dpy-22,0.606606255
F29G6.1,0.60807285
Y16B4A.2,0.608265238
T23H2.3,0.609965348
Y106G6D.7,0.610156363
polq-1,0.610336371
F16G10.11,0.610708415
T06D4.3,0.61076637
ctn-1,0.610977156
pde-3,0.611005725
cpb-3,0.612026815
daf-15,0.61246469
Y20C6A.1,0.612721045
K10B4.1,0.613776354
ptr-6,0.615781672
W03B1.2,0.615813914
F34D10.4,0.61739397
fmi-1,0.617523496
M117.4,0.618211623
T23D8.7,0.618317939
dys-1,0.619183755
M88.5,0.621357591
gei-1,0.621821333
Y44E3A.6,0.622157116
Y47D3A.29,0.622771804
nnt-1,0.623694196
Y54E10A.11,0.624329992
K02E11.10,0.624489846
him-4,0.625266238
K02F6.7,0.625905828
C04E12.4,0.62591227
F02C9.2,0.62591227
ehbp-1,0.62591227
vab-1,0.62591227
daam-1,0.62591227
ipla-1,0.62591227
acy-3,0.626388742
sec-31,0.626815838
C14C10.5,0.627016756
sqv-6,0.627244708
mab-20,0.628697192
C09G1.4,0.629064712
F46G10.2,0.629064712
Y92H12A.5,0.630650149
R11A5.7,0.632193735
C32E12.4,0.634237348
ZC376.1,0.6342551
dkf-2,0.635087856
Y57G11C.32,0.63531103
C41A3.1,0.636588054
tre-4,0.636934683
T01D3.7,0.637052961
F46H5.4,0.637190131
cdh-5,0.637577204
npp-7,0.637795833
K04C1.2,0.637923945
Y53G8AM.8,0.638198649
ama-1,0.639610121
egl-8,0.639845368
H20J04.2,0.639880283
T08A11.2,0.640812011
F39B2.3,0.640882109
clec-8,0.641080496
nkat-3,0.641473783
dapk-1,0.642256823
cogc-4,0.642820787
shn-1,0.642910207
F44D12.1,0.643705943
pqn-15,0.645033711
max-2,0.645374457
cogc-2,0.646169382
C23H4.6,0.646169382
qua-1,0.646169382
tat-3,0.646521104
gcy-37,0.646835068
F37A4.4,0.647520265
C16B8.4,0.648106449
ketn-1,0.64820003
F07G11.9,0.649525943
piki-1,0.649577002
mat-2,0.651470103
R10E8.3,0.651641405
T05C3.2,0.651704042
klp-4,0.651852542
T05A7.11,0.652016984
Y48B6A.1,0.652932557
C54G4.4,0.652992174
lir-1,0.653520032
rbg-1,0.653656724
nuo-5,0.653656724
C45G7.4,0.653743067
che-11,0.654187672
ZC455.1,0.655127836
gcn-2,0.655153233
H40L08.3,0.655196802
Y40C5A.3,0.655419798
F52G3.1,0.655491213
math-47,0.65565931
R08E3.1,0.656318268
F38B6.6,0.656581332
nmy-2,0.657956641
tag-333,0.658138724
alg-1,0.658533164
F13B9.1,0.658865489
unc-83,0.659324865
ZK1193.2,0.659407877
F13H8.2,0.660782742
add-1,0.660782742
cand-1,0.660782742
Y46B2A.3,0.661465644
abts-1,0.66301349
fbxc-30,0.66301349
C17G10.6,0.663566144
H03E18.1,0.663566144
M176.10,0.663566144
C54G6.2,0.664142592
F40F4.6,0.665457186
duox-2,0.666191036
smg-8,0.666725
mrp-8,0.666725
smg-1,0.666725
mrp-2,0.666725
nhr-271,0.666725
tag-279,0.666759505
tag-273,0.668449038
smg-3,0.669163322
ulp-2,0.66958947
C01B9.1,0.670893881
sym-2,0.674325045
C28F5.4,0.67439867
M01F1.7,0.67440926
W05B2.2,0.67505268
hda-4,0.675339449
otpl-5,0.675339449
F52E1.13,0.676896994
T01H3.2,0.677407699
cle-1,0.67752108
tag-343,0.677626825
F45H11.3,0.677803688
ifta-1,0.677803688
cyk-3,0.678822135
F39C12.1,0.680275452
hum-6,0.680937409
Y73F8A.5,0.682906724
col-174,0.683587749
ergo-1,0.683613865
Y22D7AR.2,0.684681113
BE0003N10.1,0.685463418
F43C1.1,0.686052984
lea-1,0.686551505
let-805,0.687550191
C29H12.5,0.687933699
rsa-2,0.687933699
pqn-39,0.688679654
hum-8,0.688679654
F56A8.1,0.688910254
B0222.9,0.689790208
F59A6.3,0.689790208
lfi-1,0.69009018
K03A11.4,0.690101168
T08A11.1,0.690131262
Y40B1A.3,0.69021889299999994
F26A1.8,0.690966399
mrp-7,0.691692853
cyld-1,0.692370128
T12A2.5,0.692486858
fasn-1,0.692812889
ZK836.2,0.693258536
vit-5,0.693545107
B0198.3,0.694733264
C12D12.1,0.695682455
let-75,0.696741916
H05L14.2,0.697018144
fhod-1,0.697245778
math-48,0.697925858
F32D1.3,0.6983379
let-2,0.698374876
fcd-2,0.699635188
C25H3.8,0.699764702
ptp-3,0.700146917
haf-6,0.700887065
alg-2,0.701550491
Y55F3BR.2,0.702390367
rol-3,0.702398643
syp-4,0.703801863
T05H4.3,0.703801863
dnj-27,0.703801863
F34D10.6,0.704435382
hcp-2,0.704435382
tom-1,0.706352343
qui-1,0.706413437
ZK688.5,0.706808112
sur-5,0.706947305
rbg-2,0.707435865
tsn-1,0.708024216
F41G4.7,0.708264148
Y71H2AM.10,0.708396941
ark-1,0.709849778
D2005.4,0.710556735
nhr-119,0.711679499
clu-1,0.713287596
01-Apr,0.713409463
ani-2,0.713409463
ced-12,0.71386403
F31D5.5,0.714582856
lim-4,0.715121366
agef-1,0.715189668
F10G7.10,0.715680928
B0238.7,0.716506905
F40F11.2,0.716806832
F42H10.5,0.716806832
dhc-1,0.717246592
T11G6.5,0.717398151
Y75B8A.24,0.717564292
let-716,0.720392942
C27B7.7,0.722432749
F31E3.4,0.72382747
T24B8.7,0.72516635
sym-4,0.725392947
amx-2,0.72656453
R03D7.1,0.727440143
ZK1067.2,0.727677801
clp-6,0.72779473
F14F7.5,0.728633588
K09F6.3,0.731255334
knl-3,0.731713231
R05D7.3,0.733180453
pqe-1,0.73319912
dpy-27,0.733663709
glh-4,0.733818655
Y37H2A.1,0.734073572
mltn-6,0.735585155
par-1,0.736861258
F54F11.2,0.73799792
F28B4.3,0.738135283
F48E3.2,0.738580015
cft-1,0.740030004
lin-2,0.740757752
col-163,0.740757752
Y47G6A.29,0.741473495
C52B9.8,0.741494368
ncx-1,0.7416181
pqn-41,0.742000508
F31C3.3,0.742089529
Y53C10A.10,0.744038922
alp-1,0.744242056
max-1,0.74651441
F45G2.2,0.747923586
aco-1,0.748658203
hcp-1,0.74948518
B0222.3,0.750718655
F54B3.1,0.753703966
ZC53.4,0.754356227
tnt-3,0.75811124
C18H2.4,0.758254242
pgp-10,0.758476414
sel-2,0.758517502
R02E12.4,0.760394959
T06D8.10,0.76534712
set-16,0.765489905
F56D12.6,0.76627698
B0252.1,0.767358662
K03H1.5,0.769130657
fbn-1,0.769236251
T25B6.2,0.76958203
rrf-1,0.771371648
acs-4,0.771991283
rabn-5,0.771991283
unc-68,0.773147837
cdh-12,0.775535007
unc-52,0.777235623
mrp-3,0.777795003
dcaf-1,0.779174264
twk-11,0.779232606
F35H10.10,0.779751127
ret-1,0.779857161
C27F2.8,0.780518437
sca-1,0.781599442
R06B10.2,0.781599442
T05H10.1,0.781599442
epg-3,0.781599442
Y49F6A.1,0.781599442
rme-8,0.782717698
F36H2.3,0.782918256
Y48E1B.3,0.784003243
F36A2.13,0.784098029
npp-21,0.78814854
sop-3,0.78814854
F11C1.5,0.788668515
tag-232,0.78920631
ttn-1,0.790061101
dog-1,0.791106233
lin-40,0.791106233
spe-41,0.791106233
nfi-1,0.791106233
K07E3.1,0.793072453
C14C10.4,0.79386072
Y41E3.11,0.794668239
C13B4.1,0.795990718
dyf-2,0.798859547
fln-1,0.801624023
